Treat,PLANT_ID,EPICHL_TRT,COLLET_TRT,RHIZOC_TRT,days,Survey.event,Treatment.code,Treat.better,NMDS1,NMDS2
Epi (-) Col (+),31,free,inoculated,mock,32,10,EF_C,Col,-0.00568805,-0.011038928
Epi (-) Col (+),31,free,inoculated,mock,35,11,EF_C,Col,-0.00568805,-0.011038928
Epi (-) Col (+),31,free,inoculated,mock,39,12,EF_C,Col,-0.01350073,-0.015919719
Epi (-) Col (+),31,free,inoculated,mock,42,13,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),45,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,11,4,EF_C,Col,0.001911309,0.025070298
Epi (-) Col (+),45,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,21,7,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,25,8,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),45,free,inoculated,mock,39,12,EF_C,Col,-0.078777876,-0.011768262
Epi (-) Col (+),45,free,inoculated,mock,42,13,EF_C,Col,-0.113357185,-0.02956675
Epi (-) Col (+),64,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,21,7,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),64,free,inoculated,mock,25,8,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,28,9,EF_C,Col,-0.006107475,0.012086007
Epi (-) Col (+),64,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),64,free,inoculated,mock,35,11,EF_C,Col,-0.009332464,0.010843526
Epi (-) Col (+),64,free,inoculated,mock,39,12,EF_C,Col,-0.018990791,0.006417385
Epi (-) Col (+),64,free,inoculated,mock,42,13,EF_C,Col,-0.03943045,0.001575071
Epi (-) Col (+),71,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),71,free,inoculated,mock,14,5,EF_C,Col,0.003488096,0.005895841
Epi (-) Col (+),71,free,inoculated,mock,18,6,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),71,free,inoculated,mock,21,7,EF_C,Col,0.013365435,-0.005968687
Epi (-) Col (+),71,free,inoculated,mock,25,8,EF_C,Col,0.03390977,-0.028394894
Epi (-) Col (+),78,free,inoculated,mock,25,8,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),78,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),78,free,inoculated,mock,32,10,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),78,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),78,free,inoculated,mock,39,12,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),78,free,inoculated,mock,42,13,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,14,5,EF_C,Col,0.011501686,-0.004324852
Epi (-) Col (+),80,free,inoculated,mock,18,6,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,21,7,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),80,free,inoculated,mock,25,8,EF_C,Col,-0.000436634,0.003013446
Epi (-) Col (+),80,free,inoculated,mock,28,9,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),80,free,inoculated,mock,32,10,EF_C,Col,-0.002841565,-0.009439819
Epi (-) Col (+),80,free,inoculated,mock,35,11,EF_C,Col,-0.022440122,0.006551858
Epi (-) Col (+),80,free,inoculated,mock,39,12,EF_C,Col,-0.059903423,-0.069662468
Epi (-) Col (+),80,free,inoculated,mock,42,13,EF_C,Col,-0.063020865,-0.006500877
Epi (-) Col (+),102,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),102,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),102,free,inoculated,mock,6,3,EF_C,Col,0.002992664,0.031172651
Epi (-) Col (+),110,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),110,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),110,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),110,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),110,free,inoculated,mock,14,5,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),110,free,inoculated,mock,18,6,EF_C,Col,0.117718047,-0.082032452
Epi (-) Col (+),110,free,inoculated,mock,21,7,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),110,free,inoculated,mock,25,8,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),110,free,inoculated,mock,28,9,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),110,free,inoculated,mock,32,10,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),110,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),110,free,inoculated,mock,39,12,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),110,free,inoculated,mock,42,13,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,4,2,EF_C,Col,0.004013594,0.028671469
Epi (-) Col (+),128,free,inoculated,mock,6,3,EF_C,Col,0.004013594,0.028671469
Epi (-) Col (+),128,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,14,5,EF_C,Col,0.028447644,0.010281889
Epi (-) Col (+),128,free,inoculated,mock,18,6,EF_C,Col,0.005507197,0.036368587
Epi (-) Col (+),128,free,inoculated,mock,21,7,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,25,8,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,28,9,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,32,10,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,35,11,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),128,free,inoculated,mock,39,12,EF_C,Col,-0.009332464,0.010843526
Epi (-) Col (+),128,free,inoculated,mock,42,13,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),134,free,inoculated,mock,1,1,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),134,free,inoculated,mock,4,2,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),134,free,inoculated,mock,6,3,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),134,free,inoculated,mock,11,4,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),134,free,inoculated,mock,14,5,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+),134,free,inoculated,mock,18,6,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),134,free,inoculated,mock,21,7,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),134,free,inoculated,mock,25,8,EF_C,Col,0.010744409,-0.003219383
Epi (-) Col (+),134,free,inoculated,mock,28,9,EF_C,Col,0.028782744,-0.023859948
Epi (-) Col (+),134,free,inoculated,mock,32,10,EF_C,Col,0.00789638,-0.00102731
Epi (-) Col (+),134,free,inoculated,mock,35,11,EF_C,Col,0.018271505,-0.013421814
Epi (-) Col (+),134,free,inoculated,mock,39,12,EF_C,Col,-0.002578372,0.013892452
Epi (-) Col (+) Rhiz (+),34,free,inoculated,inoculated,1,1,EF_CR,Col + Rhiz,-0.002578372,0.013892452
Epi (-) Col (+) Rhiz (+),34,free,inoculated,inoculated,4,2,EF_CR,Col + Rhiz,-0.002578372,0.013892452
Epi (-) Col (+) Rhiz (+),34,free,inoculated,inoculated,6,3,EF_CR,Col + Rhiz,-0.002578372,0.013892452
Epi (-) Col (+) Rhiz (+),34,free,inoculated,inoculated,11,4,EF_CR,Col + Rhiz,0.0056514,0.00311963
Epi (-) Col (+) Rhiz (+),34,free,inoculated,inoculated,14,5,EF_CR,Col + Rhiz,0.0056514,0.00311963
Epi (-) Col (+) Rhiz (+),34,free,inoculated,inoculated,18,6,EF_CR,Col + Rhiz,-0.002578372,0.013892452
