PLANT_ID,Epichloe.presence,immunoblot.date,tested.by,scored.by,entered.by,Oven-dried.weight(g),Date.weighed,Scale used,Weighed by,Date harvested 
94,1,11/11/2019,JK,JK,JK,0.58,11/14/2019,Mettler AE 160,JK,10/31/2019
95,0,11/11/2019,JK,JK,JK,1.09,11/27/2019,Scout pro 400g,JK,10/31/2019
96,0,11/11/2019,JK,JK,JK,0.78,11/14/2019,Mettler AE 160,JK,10/31/2019
97,0,11/11/2019,JK,JK,JK,0.65,11/27/2019,Scout pro 400g,JK,10/31/2019
98,0,11/11/2019,JK,JK,JK,0.75,11/14/2019,Mettler AE 160,JK,10/31/2019
99,0,11/11/2019,JK,JK,JK,0.98,11/27/2019,Scout pro 400g,JK,10/31/2019
100,0,11/11/2019,JK,JK,JK,1.15,11/27/2019,Scout pro 400g,JK,10/31/2019
101,0,11/11/2019,JK,JK,JK,1.02,11/27/2019,Scout pro 400g,JK,10/31/2019
102,0,11/11/2019,JK,JK,JK,1.15,11/27/2019,Scout pro 400g,JK,10/31/2019
103,0,11/11/2019,JK,JK,JK,0.76,11/27/2019,Scout pro 400g,JK,10/31/2019
104,0,11/11/2019,JK,JK,JK,0.82,11/27/2019,Scout pro 400g,JK,10/31/2019
105,0,11/11/2019,JK,JK,JK,0.43,11/27/2019,Scout pro 400g,JK,10/31/2019
106,0,11/11/2019,JK,JK,JK,1.21,11/27/2019,Scout pro 400g,JK,10/31/2019
107,0,11/11/2019,JK,JK,JK,1.36,11/27/2019,Scout pro 400g,JK,10/31/2019
108,0,11/11/2019,JK,JK,JK,1.03,11/27/2019,Scout pro 400g,JK,10/31/2019
109,1,11/11/2019,JK,JK,JK,0.93,11/27/2019,Scout pro 400g,JK,10/31/2019
110,0,11/11/2019,JK,JK,JK,1.5,11/27/2019,Scout pro 400g,JK,10/31/2019
111,1,11/11/2019,JK,JK,JK,1,11/27/2019,Scout pro 400g,JK,10/31/2019
112,0,11/11/2019,JK,JK,JK,0.81,11/27/2019,Scout pro 400g,JK,10/31/2019
113,0,11/11/2019,JK,JK,JK,0.7,11/27/2019,Scout pro 400g,JK,10/31/2019
114,0,11/11/2019,JK,JK,JK,0.58,11/27/2019,Scout pro 400g,JK,10/31/2019
115,1,11/11/2019,JK,JK,JK,1.27,11/27/2019,Scout pro 400g,JK,10/31/2019
116,0,11/11/2019,JK,JK,JK,0.9,11/27/2019,Scout pro 400g,JK,10/31/2019
117,0,11/11/2019,JK,JK,JK,0.49,11/27/2019,Scout pro 400g,JK,10/31/2019
118,1,11/11/2019,JK,JK,JK,1.45,11/27/2019,Scout pro 400g,JK,10/31/2019
119,0,11/11/2019,JK,JK,JK,0.7,11/27/2019,Scout pro 400g,JK,10/31/2019
120,0,11/11/2019,JK,JK,JK,1.22,11/27/2019,Scout pro 400g,JK,10/31/2019
121,1,11/11/2019,JK,JK,JK,0.84,11/27/2019,Scout pro 400g,JK,10/31/2019
122,0,11/11/2019,JK,JK,JK,1.02,11/14/2019,Mettler AE 160,JK,10/31/2019
123,0,11/11/2019,JK,JK,JK,1.02,11/27/2019,Scout pro 400g,JK,10/31/2019
124,0,11/11/2019,JK,JK,JK,1.05,11/27/2019,Scout pro 400g,JK,10/31/2019
125,0,11/11/2019,JK,JK,JK,0.9,11/27/2019,Scout pro 400g,JK,10/31/2019
126,0,11/11/2019,JK,JK,JK,1.45,11/27/2019,Scout pro 400g,JK,10/31/2019
127,0,11/11/2019,JK,JK,JK,0.64,11/27/2019,Scout pro 400g,JK,10/31/2019
128,0,11/11/2019,JK,JK,JK,1.32,11/27/2019,Scout pro 400g,JK,10/31/2019
129,0,11/11/2019,JK,JK,JK,1.18,11/27/2019,Scout pro 400g,JK,10/31/2019
130,0,11/11/2019,JK,JK,JK,0.71,11/27/2019,Scout pro 400g,JK,10/31/2019
131,1,11/11/2019,JK,JK,JK,0.94,11/27/2019,Scout pro 400g,JK,10/31/2019
132,1,11/11/2019,JK,JK,JK,0.55,11/27/2019,Scout pro 400g,JK,10/31/2019
133,0,11/11/2019,JK,JK,JK,1.23,11/27/2019,Scout pro 400g,JK,10/31/2019
134,0,11/11/2019,JK,JK,JK,2.02,11/27/2019,Scout pro 400g,JK,10/31/2019
135,0,11/11/2019,JK,JK,JK,0.96,11/27/2019,Scout pro 400g,JK,10/31/2019
136,0,11/11/2019,JK,JK,JK,0.73,11/27/2019,Scout pro 400g,JK,10/31/2019
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
