"","PLANT_ID","days","Survey.event","Treat","EPICHL_TRT","COLLET_TRT","RHIZOC_TRT","NMDS1","NMDS2"
"175","111",28,9,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.189699341755555,0.104847370236975
"176","111",32,10,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.196825327259655,0.114131662180184
"177","111",35,11,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.0851689114910032,0.0370560875010161
"178","111",39,12,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.182774342213239,0.10240172489022
"179","111",4,2,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.00744013478941864,-0.0160681804564693
"180","111",42,13,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.0375059828081515,0.00560410867610288
"181","111",6,3,"Epi (+) Col (+)","inoculated","inoculated","mock",-0.00744013478941865,-0.0160681804564693
"182","112",1,1,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"183","112",11,4,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"184","112",14,5,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"185","112",18,6,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"186","112",21,7,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.0752080184811862,0.0389164851477168
"187","112",25,8,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",0.128024252049951,0.058944820860736
"188","112",4,2,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"189","112",6,3,"Epi (+) Rhiz (+)","inoculated","mock","inoculated",-0.00744013478941865,-0.0160681804564693
"190","113",1,1,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"191","113",11,4,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"192","113",14,5,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.00753339326346803,-0.00306144868808122
"193","113",18,6,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.128024252049951,0.058944820860736
"194","113",21,7,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.128024252049951,0.058944820860736
"195","113",25,8,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0614194947783794,0.0320126957151845
"196","113",28,9,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"197","113",32,10,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"198","113",35,11,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941864,-0.0160681804564693
"199","113",39,12,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"200","113",4,2,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
